symbol,buy_date,buy_price,sell_date,sell_price,shares,cost_basis,net_pnl,return_pct,holding_days,exit_reason,total_friction
MUTHOOTFIN,2016-02-02,198.2,2016-03-02,176.37,2522,499855.36,-56594.89,-11.32,29,r3_exit,1553.37
IGL,2016-02-02,113.03,2016-03-02,106.92,4422,499831.57,-28633.17,-5.73,29,r3_exit,1614.97
RAJESHEXPO,2016-02-02,730.68,2016-03-02,708.29,684,499785.09,-16954.62,-3.39,29,r3_exit,1640.57
PRAJIND,2016-02-02,96.4,2016-03-02,78.52,5186,499911.21,-94169.9,-18.84,29,r2_exit,1470.67
POWERGRID,2016-02-02,146.65,2016-03-02,134.87,3409,499917.92,-41749.46,-8.35,29,r3_exit,1586.33
HCLTECH,2016-02-02,440.44,2016-03-02,418.08,1135,499899.4,-26995.71,-5.4,29,r3_exit,1618.81
KRBL,2016-02-02,239.34,2016-03-02,186.86,2088,499740.04,-111003.17,-22.21,29,r2_exit,1432.97
EMAMILTD,2016-02-02,519.52,2016-03-02,501.5,962,499777.28,-18972.3,-3.8,29,r3_exit,1636.1
LAOPALA,2016-02-02,322.82,2016-03-02,294.7,1548,499729.23,-45104.18,-9.03,29,r3_exit,1578.29
RELIANCE,2016-02-02,515.67,2016-03-02,495.95,969,499679.53,-20732.43,-4.15,29,r3_exit,1631.89
SUNPHARMA,2016-02-02,880.73,2016-04-04,816.38,567,499373.82,-38077.38,-7.63,62,r3_exit,1592.6
SUPREMEIND,2016-02-02,749.7,2016-04-04,749.25,666,499299.5,-1971.0,-0.39,62,rank_exit,1672.0
VAKRANGEE,2016-02-02,96.9,2016-04-04,99.68,5159,499890.59,12627.71,2.53,62,r3_exit,1706.18
APOLLOHOSP,2016-02-02,1508.41,2016-04-04,1354.64,331,499282.68,-52456.1,-10.51,62,r3_exit,1560.58
PIDILITIND,2016-03-02,590.09,2016-04-04,589.41,768,453188.74,-2038.89,-0.45,33,rank_exit,1517.03
MARICO,2016-03-02,237.04,2016-04-04,241.76,1913,453451.4,7492.71,1.65,33,rank_exit,1538.94
OMAXE,2016-03-02,139.09,2016-04-04,145.5,3261,453569.07,19355.12,4.27,33,rank_exit,1565.5
M&M,2016-03-02,635.63,2016-04-04,598.13,713,453207.75,-28203.1,-6.22,33,r3_exit,1459.38
CADILAHC,2016-03-02,330.33,2016-04-04,321.48,1373,453543.09,-13646.14,-3.01,33,r3_exit,1492.62
INFY,2016-02-02,589.01,2016-05-03,600.77,848,499483.38,8277.43,1.66,91,rank_exit,1695.22
EICHERMOT,2016-03-02,1951.95,2016-05-03,1994.4,232,452852.4,8310.5,1.84,62,rank_exit,1538.73
GLAXO,2016-04-04,1899.37,2016-05-03,1835.66,244,463446.88,-17063.57,-3.68,29,rank_exit,1518.33
AMBUJACEM,2016-04-04,236.59,2016-05-03,224.13,1960,463709.25,-25922.64,-5.59,29,rank_exit,1499.67
ABB,2016-04-04,1311.31,2016-05-03,1265.73,353,462892.43,-17603.96,-3.8,29,rank_exit,1515.28
FINCABLES,2016-04-04,287.64,2016-05-03,287.71,1612,463671.41,-1433.23,-0.31,29,rank_exit,1553.57
